Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing . Use only information from the following text

ITEM 1.            BUSINESS

We are a diversified television broadcasting company with national reach and a strong focus on using our spectrum to bring together content providers, advertisers, and consumers on various platforms.  The content, distributed through our broadcast platform, consists of programming provided by third-party networks and syndicators, local news, our own networks, and other original programming produced by us.  We also distribute our original programming, and owned and operated networks, on other third-party platforms.  Additionally, we own digital and internet media products that are complementary to our extensive portfolio of television station related digital properties. We focus on offering marketing solutions to advertisers through our television and digital platforms and digital agency services. Outside of our media related businesses, we operate technical services companies focused on supply and maintenance of broadcast transmission systems as well as research and development for the advancement of broadcast technology, and we manage other non-media related investments.
Broadcast
As of December 31, 2018, our broadcast distribution platform consists primarily of our broadcast television stations. We own, provide programming and operating services pursuant to local marketing agreements (LMAs), or provide sales services and other non-programming operating services pursuant to other outsourcing agreements (such as JSAs and SSAs) to 191 stations in 89 markets. These stations broadcast 605 channels, including 240 channels affiliated with primary networks or program service providers comprised of:  FOX (59), ABC (41), CBS (30), NBC (24), CW (47), and MyNetworkTV (MNT) (39).  The other 365 channels broadcast programming from Antenna TV, Azteca, Bounce Network, CHARGE!, Comet, Estrella TV, Get TV, Grit, Me TV, Movies!, Nevada Sports Network, Stadium, TBD, Telemundo, This TV, Unimas, Univision, Weather, and two channels broadcasting independent programming.  For the purpose of this report, these 191 stations and 605 channels are referred to as “our” stations and channels.  Refer to our Television Markets and Stations table later in this Item 1. for more information.
Our broadcast segment provides free over-the-air programming to television viewing audiences in the communities we serve through our local television stations.  The programming that we provide on our primary channels consists of network provided programs, locally-produced news, local sporting events, programming from program service arrangements, syndicated entertainment programs, and internally originated programming provided by our other media subsidiaries. We provide live, local sporting events on many of our stations by acquiring the local television broadcast rights for these events.  
We are the nation's largest producer of local news. We produce approximately 2,500 hours of news per week at 126 stations in 85 markets. During 2018, our stations were awarded with 338 journalism awards, including two National Edward R. Murrow awards.

Our broadcast segment derives revenue primarily from the sale of advertising inventory on our television stations and fees received from MVPDs for the right to distribute our channels on their distribution platforms.  We also earn revenues by providing digital content to non-linear devices via websites, mobile, and social media advertisements. Our objective is to meet the needs of our advertising customers by delivering significant audiences in key demographics.  Our strategy is to achieve this objective by providing quality local news programming, popular network, syndicated and live sports programs, and other original content to our viewing audience.  We attract most of our national television advertisers through national marketing representation firms which have offices in New York City, Los Angeles, Chicago, and Atlanta.  Our local television advertisers are attracted through the use of a local sales force at each of our television stations, which is comprised of approximately 700 marketing consultants and 100 local sales managers company-wide.
Our operating results are subject to cyclical fluctuations from political advertising.  Political spending has been significantly higher in the even-number years due to the cyclicality of political elections.  In addition, every four years, political spending is typically elevated further due to the advertising related to the presidential election.  Because of the political election cyclicality, there has been a significant difference in our operating results when comparing even-numbered years’ performance to the odd numbered years’ performance.  Additionally, our operating results are impacted by the number and importance of individual political races and issues discussed on a national level as well as those within the local communities we serve.  We believe political advertising will continue to be a strong advertising category in our industry. Political advertising levels may increase further as political-activism, around social, political, economic and environmental causes, continues to draw attention and Political Action Committees (PACs), including so-called Super PACs, continue to increase spending.
Owned Networks and Content
We own and operate various networks carried on distribution platforms owned by us or others including: Comet, our science fiction multicast network; CHARGE!, our adventure and action-based emerging network, which launched in February 2017; and TBD, the first multiscreen TV network in the U.S. market to bring premium internet-first content to TV homes across America, which launched in February 2017. 
We also own and operate Tennis Channel, a cable network which includes coverage of many of tennis' top tournaments and original professional sport and tennis lifestyle shows, and Tennis Magazine, the sport’s largest print publication, and Tennis.com (collectively, Tennis), the most visited online tennis platform in the world.
In February 2019, we announced a joint venture with the Chicago Cubs (Cubs) that will own and operate Marquee Sports Network, a regional sports network based in Chicago, Illinois. Marquee will be the Chicago-region’s exclusive network for fans to view live Cubs games beginning with the 2020 Major League Baseball season and will also feature exclusive Cubs content and other local sports programming. 
Our internally developed content, in addition to our local news, includes Ring of Honor (ROH), our professional wrestling promotion, and Full Measure with Sharyl Attkisson (Full Measure), our national Sunday morning investigative and political analysis program.
Also, we have an investment in Stadium, a network that brings together professional sports highlights and college games. 
Digital and Internet
 We earn revenues from Compulse Integrated Marketing (Compulse), a full service digital agency which uses our digital expertise to help businesses run social media, search, advertising, email marketing, web design, mobile marketing and creative services, and audience extension, and navigate and compete in a world of constant innovation and changes in consumer behavior. In August 2018, Compulse expanded its business with the launch of CompulseOTT, a new over-the-top advertising platform exclusively focused on OTT advertising.
DataSphere Technologies, acquired in June 2017, provides marketing services to small businesses across the country and works in partnership with multiple media companies, including Sinclair. 
 Our digital and internet content includes Circa, a national digital news operation offering video-rich news and entertainment tailored for mobile devices and aimed at the younger demographic; NewsON, a free, ad-supported app that provides instant access to live or on-demand local news broadcasts; and STIRR, a new national OTT streaming service which offers live and on-demand content spanning entertainment, sports, and news which launched in January 2019.
Sinclair Digital Ventures focuses on investment in emerging digital technologies, ad tech, and digital content companies that support, compliment, or expand the Company's businesses. 
Technical Services
We own subsidiaries which are dedicated to providing technical services to the broadcast industry, including: Acrodyne Technical Services, a provider of service and support for broadcast transmitters throughout the world; Dielectric, a designer and manufacturer of broadcast systems including all components from transmitter output to antenna; ONE Media, a technology innovator at the forefront of developing industry standards and related technologies for ATSC 3.0, a next generation (NextGen) broadcast standard encompassing a flexible and enhanced vision for broadcasting; and ONE Media 3.0, a wholly-owned subsidiary whose purpose is to develop business opportunities, products, and services associated with the NextGen broadcast transmission standard and TV platform. 
Non-media Investments
We own various non-media related investments across multiple asset classes including private equity, mezzanine financing, and real estate investments. Some of the largest investments include: Triangle Sign and Service (Triangle), a sign designer and fabricator; Jefferson Park, a mixed-use land development project in Frederick, MD; investments in sustainability initiatives; and a portfolio of apartment complexes.
Corporate Information
We are a Maryland corporation formed in 1986.  Our principal offices are located at 10706 Beaver Dam Road, Hunt Valley, Maryland 21030.  Our telephone number is (410) 568-1500 and our website address is www.sbgi.net.  The information contained on, or accessible through, our website is not part of this annual report on Form 10-K and is not incorporated herein by reference.
Television Markets and Stations

As of December 31, 2018, we own and operate or provide programming and/or sales and other shared services to television stations in the following 89 markets:
 
Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Washington, DC | 6 | 4 | WJLA | ABC 
Seattle / Tacoma, WA | 13 | 6 | KOMO, KUNS | ABC 
Minneapolis / St. Paul, MN | 15 | 4 | WUCW | CW 
St. Louis, MO | 21 | 4 | KDNL | ABC 
Portland, OR | 22 | 10 | KATU, KUNP, KUNP-LD | ABC 
Pittsburgh, PA | 24 | 7 | WPGH, WPNT | FOX, MNT 
Raleigh / Durham, NC | 25 | 7 | WLFL, WRDC | CW, MNT 
Baltimore, MD | 26 | 8 | WBFF, WNUV(c), WUTB(d) | FOX, CW, MNT 
Nashville, TN | 27 | 9 | WZTV, WNAB(d), WUXP | FOX, CW, MNT 
Salt Lake City, UT | 30 | 9 | KUTV, KMYU, KJZZ, KENV(d) | CBS, MNT, IND 
San Antonio, TX | 31 | 8 | KABB, WOAI, KMYS(d) | FOX, NBC, CW 
Columbus, OH | 34 | 9 | WSYX, WTTE(c), WWHO(d) | ABC, FOX, CW, MNT 
Cincinnati, OH | 35 | 7 | WKRC, WSTR(d) | CBS, CW, MNT 
Milwaukee, WI | 36 | 3 | WVTV | CW, MNT 
West Palm Beach / Fort Pierce, FL | 37 | 12 | WPEC, WTVX, WTCN-CA, WWHB-CA | CBS, CW, MNT 
Asheville, NC / Greenville, SC | 38 | 8 | WLOS, WMYA(c) | ABC, MNT 
Las Vegas, NV | 39 | 8 | KSNV, KVCW | NBC, CW, MNT 
Austin, TX | 40 | 2 | KEYE | CBS 
Harrisburg / Lancaster / Lebanon / York, PA | 41 | 3 | WHP | CBS, CW, MNT 
Birmingham / Tuscaloosa, AL | 43 | 14 | WBMA-LD, WDBB(c), WTTO, WABM | ABC, CW, MNT 

7


Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Norfolk, VA | 44 | 4 | WTVZ | MNT 
Oklahoma City, OK | 45 | 6 | KOKH, KOCB | FOX, CW 
Greensboro / High Point / Winston Salem, NC | 46 | 7 | WXLV, WMYV | ABC, MNT 
Grand Rapids / Kalamazoo, MI | 49 | 3 | WWMT | CBS, CW 
Buffalo, NY | 52 | 7 | WUTV, WNYO | FOX, MNT 
Providence, RI / New Bedford, MA | 53 | 4 | WJAR | NBC 
Fresno / Visalia, CA | 54 | 12 | KMPH, KMPH-CD, KFRE | FOX, CW 
Richmond, VA | 56 | 4 | WRLH | FOX, MNT 
Little Rock / Pine Bluff, AR | 57 | 4 | KATV | ABC 
Mobile, AL / Pensacola, FL | 58 | 11 | WEAR, WPMI(d), WFGX, WJTC(d) | ABC, NBC, MNT, IND 
Albany, NY | 59 | 7 | WRGB, WCWN | CBS, CW 
Tulsa, OK | 61 | 4 | KTUL | ABC 
Wilkes Barre / Scranton, PA | 62 | 10 | WOLF(c), WSWB(d), WQMY(c) | FOX, CW, MNT 
Lexington, KY | 63 | 4 | WDKY | FOX 
Dayton, OH | 64 | 8 | WKEF, WRGT(d) | ABC, FOX, MNT 
Flint / Saginaw / Bay City, MI | 65 | 10 | WSMH, WEYI(d), WBSF(d) | FOX, NBC, CW 
Green Bay / Appleton, WI | 67 | 7 | WLUK, WCWF | FOX, CW 
Roanoke / Lynchburg, VA | 68 | 4 | WSET | ABC 
Omaha, NE | 69 | 7 | KPTM, KXVO(c) | FOX, CW, MNT 
Charleston / Huntington, WV | 70 | 7 | WCHS, WVAH(d) | ABC, FOX 
Toledo, OH | 71 | 4 | WNWO | NBC 
Columbia, SC | 74 | 4 | WACH | FOX 
Des Moines, IA | 75 | 4 | KDSM | FOX 
Wichita / Hutchinson, KS | 76 | 18 | KSAS, KOCW, KAAS, KAAS-LP, KSAS-LP, KMTW(c) | FOX, MNT 
Spokane, WA | 77 | 3 | KLEW | CBS 
Harlingen / Weslaco / Brownsville / McAllen, TX | 78 | 3 | KGBT | CBS 
Rochester, NY | 80 | 7 | WHAM(d), WUHF | ABC, FOX, CW 
Syracuse, NY | 81 | 7 | WTVH(d), WSTM, WSTQ-LP | CBS, NBC, CW 
Champaign / Springfield / Decatur, IL | 82 | 17 | WICS, WICD, WCCU(d), WRSP(d), WBUI(d) | ABC, FOX, CW 
Chattanooga, TN | 83 | 7 | WTVC, WFLI(d) | ABC, FOX, CW, MNT 
Portland, ME | 84 | 6 | WGME, WPFO(d) | CBS, FOX 
El Paso, TX | 85 | 7 | KDBC, KFOX | CBS, FOX, MNT 
Madison, WI | 86 | 4 | WMSN | FOX 
Cedar Rapids, IA | 87 | 7 | KGAN, KFXA(d) | CBS, FOX 
Paducah, KY/ Cape Girardeau, MO | 88 | 7 | KBSI, WDKA | FOX, MNT 
Savannah, GA | 93 | 4 | WTGS | FOX 
Charleston, SC | 94 | 3 | WCIV | ABC, MNT 
Myrtle Beach / Florence, SC | 95 | 7 | WPDE, WWMB(c) | ABC, CW 
South Bend-Elkhart, IN | 99 | 2 | WSBT | CBS, FOX 
Boise, ID | 100 | 7 | KBOI, KYUU-LD | CBS, CW Plus 
Tri-Cities, TN-VA | 102 | 7 | WEMT(d), WCYB | FOX, NBC, CW 
Johnstown / Altoona, PA | 106 | 4 | WJAC | NBC 

8


Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Greenville / New Bern / Washington, NC | 107 | 8 | WCTI, WYDO(d) | ABC, FOX 
Reno, NV | 109 | 9 | KRXI, KRNV(d), KAME(c) | FOX, NBC, MNT 
Lincoln and Hasting-Kearney, NE | 111 | 11 | KHGI, KHGI-LD, KWNB, KHGI-CD, KWNB-LD, KFXL | ABC, FOX 
Tallahassee, FL | 112 | 7 | WTWC, WTLF(d) | NBC, FOX, CW Plus 
Peoria / Bloomington, IL | 113 | 1 | WHOI | Comet 
Macon, GA | 118 | 3 | WGXA | ABC, FOX 
Yakima / Pasco / Richland / Kennewick, WA | 119 | 18 | KIMA, KEPR, KUNW-CD, KVVK-CD, KORX-CD | CBS, CW Plus 
Traverse City / Cadillac, MI | 120 | 11 | WGTU(d), WGTQ(d), WPBN, WTOM, | ABC, NBC 
Bakersfield, CA | 122 | 7 | KBAK, KBFX-CD | CBS, FOX 
Eugene, OR | 123 | 18 | KVAL, KCBY, KPIC(e), KMTR(d), KMCB(d), KTCW(d) | CBS, NBC, CW Plus 
