Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1.     Business
We are a broadcast company primarily engaged in acquiring, developing and operating broadcast properties. As of February 28, 2022, we owned seventy-nine FM, thirty-four AM radio stations and seventy-nine metro signals serving twenty-seven markets.
Strategy
Our strategy is to operate top billing radio stations in mid-sized markets, which we define as markets ranked from 20 to 200 out of the markets summarized by Investing in Radio Market Report.
Programming and marketing are key components in our strategy to achieve top ratings in our radio operations. In many of our markets, the three or four most highly rated radio stations receive a disproportionately high share of the market’s advertising revenues. As a result, a station’s revenue is dependent upon its ability to maximize its number of listeners/viewers within an advertiser’s given demographic parameters. In certain cases we use attributes other than specific market listener data for sales activities. In those markets where sufficient alternative data is available, we do not subscribe to an independent listener rating service.
The radio stations that we own and/or operate employ a variety of programming formats, including Classic Hits, Adult Hits, Top 40, Country, Country Legends, Mainstream/Hot/Soft Adult Contemporary, Pure Oldies, Classic Rock, and News/Talk. We regularly perform extensive market research, including music evaluations, focus groups and strategic vulnerability studies. Our stations also employ audience promotions to further develop and secure a loyal following.
We concentrate on the development of strong decentralized local management, which is responsible for the day-to-day operations of the stations we own and/or operate. We compensate local management based on the station’s financial performance, as well as other performance factors that are deemed to affect the long-term ability of the stations to achieve financial performance objectives. Corporate management is responsible for long-range planning, establishing policies and procedures, resource allocation and monitoring the activities of the stations.
Under the Telecommunications Act of 1996 (the “Telecommunications Act”), we are permitted to own up to eight radio stations in a single market. See “Federal Regulation of Radio Broadcasting”. We seek to acquire reasonably priced broadcast properties with significant growth potential that are located in markets with well-established and relatively stable economies. We often focus on local economies supported by a strong presence of state or federal government or one or more major universities. Future acquisitions will be subject to the availability of financing, the terms of our credit facility, and compliance with the Communications Act of 1934 (the “Communications Act”) and Federal Communications Commission (“FCC”) rules.
Advertising Sales
Our primary source of revenue is from the sale of advertising for broadcast on our stations. Depending on the format of a particular radio station, there are a predetermined number of advertisements broadcast each hour. We determine the number of advertisements broadcast hourly that can maximize a station’s available revenue dollars without jeopardizing listening/viewing levels. While there may be shifts from time to time in the number of advertisements broadcast during a particular time of the day, the total number of advertisements broadcast on a particular station generally does not vary significantly from year to year. Any change in our revenue, with the exception of those instances where stations are acquired or sold, is generally the result of pricing adjustments, which are made to ensure that the station efficiently utilizes available inventory.
​

4



Advertising rates charged by radio stations are based primarily on a station’s ability to attract audiences in the demographic groups targeted by advertisers, the number of stations in the market competing for the same demographic group, the supply of and demand for radio advertising time, and other qualitative factors including rates charged by competing radio stations within a given market. Radio rates are generally highest during morning and afternoon drive-time hours. Most advertising contracts are short-term, generally running for only a few weeks. This allows broadcasters the ability to modify advertising rates as dictated by changes in station ownership within a market, changes in listener/viewer ratings and changes in the business climate within a particular market.
Approximately $102,367,000 or 89% of our gross revenue for the year ended December 31, 2021 (approximately $86,562,000 or 84% in fiscal 2020 and approximately $116,474,000 or 88% in fiscal 2019) was generated from the sale of local advertising. Additional revenue is generated from the sale of national advertising, network compensation payments, barter and other miscellaneous transactions. In all of our markets, we attempt to maintain a local sales force that is generally larger than our competitors. The principal goal in our sales efforts is to develop long-standing customer relationships through frequent direct contacts, which we believe represents a competitive advantage. We also typically provide incentives to our sales staff to seek out new opportunities resulting in the establishment of new client relationships, as well as new sources of revenue, not directly associated with the sale of broadcast time.
Each of our stations also engages independent national sales representatives to assist us in obtaining national advertising revenues. These representatives obtain advertising through national advertising agencies and receive a commission from us based on our net revenue from the advertising obtained. Total gross revenue resulting from national advertising in fiscal 2021 was approximately $13,138,000 or 11% of our gross revenue (approximately $16,361,000 or 16% in fiscal 2020 and approximately $15,914,000 or 12% in fiscal 2019). Gross national political revenue is included in these numbers.
Competition
Radio broadcasting is a highly competitive business. Our stations compete for listeners and advertising revenues directly with other radio stations, as well as other media, within their markets. Our radio stations compete for listeners primarily on the basis of program content and by employing on-air talent which appeals to a particular demographic group. By building a strong listener base comprised of a specific demographic group in each of our markets, we are able to attract advertisers seeking to reach these listeners.
Other media, including broadcast television and/or radio (as applicable), cable television, newspapers, magazines, direct mail, the Internet, coupons and billboard advertising, also compete with us for advertising revenues.
The radio broadcasting industry is also subject to competition from new media technologies, such as the delivery of audio programming by cable and satellite television systems, satellite radio systems, direct reception from satellites, and streaming of audio on the Internet.
Seasonality
Our revenue varies throughout the year. Advertising expenditures, our primary source of revenue, is generally lowest in the first quarter. Additionally, given the disruptions in economic activity caused by the COVID-19 pandemic, our quarterly results in 2021 are not necessarily indicative of results that may be achieved in the future.
​

5



Environmental Compliance
As the owner, lessee or operator of various real properties and facilities, we are subject to various federal, state and local environmental laws and regulations. Historically, compliance with these laws and regulations has not had a material adverse effect on our business. There can be no assurance, however, that compliance with existing or new environmental laws and regulations will not require us to make significant expenditures of funds.
Human Capital Resources
Our key human capital management objectives are to attract, develop and retain top industry talent that reflects the diversity of the communities in which we broadcast. To support this goal, our human resources programs are designed to develop talent to prepare for key roles and leadership positions for the future; reward employees through competitive industry pay, benefits and other programs, instill our culture with a focus on ethical behavior and enhance our employees’ performance through investment in current technology, tools and training to enable our employees to operate at a high level. 
As of December 31, 2021, we had approximately 570 full-time employees and 227 part-time employees, none of whom are represented by unions. We believe that our relations with our employees are good.
We employ several high-profile personalities with large loyal audiences in their respective markets. We have entered into employment and non-competition agreements with our President and with most of our on-air personalities, as well as non-competition agreements with our commissioned sales representatives.
We are committed to hiring, developing and supporting a diverse and inclusive workplace. Our management teams are expected to exhibit and promote honest, ethical and respectful conduct in the workplace. All of our employees must adhere to a code of conduct that sets standards for appropriate ethical behavior. 
Available Information
You can find more information about us at our Internet website www.sagacom.com. Our Annual Report on Form 10-K, our Quarterly Reports on Form 10-Q, our Current Reports on Form 8-K and any amendments to those reports are available free of charge on our Internet website as soon as reasonably practicable after we electronically file such material with, or furnish it to, the Securities and Exchange Commission (the “SEC”).
Federal Regulation of Radio Broadcasting
Introduction. The ownership, operation and sale of radio stations, including those licensed to us, are subject to the jurisdiction of the FCC, which acts under authority granted by the Communications Act. Among other things, the FCC assigns frequency bands for broadcasting; determines the particular frequencies, locations and operating power of stations; issues, renews, revokes and modifies station licenses; determines whether to approve changes in ownership or control of station licenses; regulates equipment used by stations; adopts and implements regulations and policies that directly or indirectly affect the ownership, operation and employment practices of stations; and has the power to impose penalties for violations of its rules or the Communications Act. For additional information on the impact of FCC regulations and the introduction of new technologies on our operations, see “Forward Looking Statements” and “Risk Factors” contained elsewhere in this report.
​

6



The following is a brief summary of certain provisions of the Communications Act and of specific FCC regulations and policies. Reference should be made to the Communications Act, FCC rules (Title 47 Code of Federal Regulation, Chapter I, Subchapters A and C) and the public notices and rulings of the FCC for further information concerning the nature and extent of federal regulation of broadcast stations.
License Renewal. Radio broadcasting licenses are granted for maximum terms of eight years, and are subject to renewal upon application to the FCC. Under its “two-step” renewal process, the FCC must grant a renewal application if it finds that during the preceding term the licensee has served the public interest, convenience and necessity, and there have been no serious violations of the Communications Act or the FCC’s rules which, taken together, would constitute a pattern of abuse. If a renewal applicant fails to meet these standards, the FCC may either deny its application or grant the application on such terms and conditions as are appropriate, including renewal for less than the full 8-year term. In making the determination of whether to renew the license, the FCC may not consider whether the public interest would be served by the grant of a license to a person other than the renewal applicant. If the FCC, after notice and opportunity for a hearing, finds that the licensee has failed to meet the requirements for renewal and no mitigating factors justify the imposition of lesser sanctions, the FCC may issue an order denying the renewal application, and only thereafter may the FCC accept applications for a construction permit specifying the broadcasting facilities of the former licensee. Petitions may be filed to deny the renewal applications of our stations, but any such petitions must raise issues that would cause the FCC to deny a renewal application under the standards adopted in the “two-step” renewal process. Failure to renew a license could have a material adverse effect on the Company’s business. Radio station licenses generally expire along with the licenses of all other radio stations in a given state. The FCC accepts renewal applications for various groups of radio stations every two months, the current cycle having begun in June 2019 and will conclude for the Company’s stations in June 2022. (when New York station licenses expire). During the cycle, we have timely filed renewal applications, as required for the Company’s stations in Virginia, North Carolina, South Carolina, Florida, Tennessee, Kentucky, Arkansas, Ohio, Illinois, Wisconsin, Iowa and South Dakota, which applications have been granted. Applications for renewal of license of our radio stations in Maine, Massachusetts, New Hampshire, Vermont and New York are pending. In January 2018 and again in February 2022, the FCC designated the renewal applications of radio stations (not the Company’s) for hearing based on the stations’ records of extended periods of silence during and following their respective license renewal terms. Under the Communications Act, if a broadcast station fails to transmit signals for any consecutive 12-month period, the FCC license expires at the end of that period, unless the FCC exercises its discretion to extend or reinstate the license “to promote equity and fairness.” The FCC, to date, has rarely exercised such discretion. Further, the FCC has revoked the licenses of broadcast stations that failed to pay regulatory fees. The Company is current in the payment of regulatory fees to the FCC.
​
​
​
​
​
​

7



The following table sets forth information about our radio stations, including the markets they serve, their format, and the FCC class of each of the broadcast stations that we own or operate with an attributable interest and the date on which each such station’s FCC license expires:
​

​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ 
--------+---+----------------------------------+---+--------------------------+---+-------------+---+--------------------+----
 | ​ | ​ | ​ | Station | ​ | FCC Station | ​ | Expiration Date of | 
Station | | Market (1) | | Format | | Class (2) | | FCC Authorization | ​ 
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ 
FM: | | | | ​ | ​ | | | | 
WOXL | | Asheville, NC | | Hot Adult Contemporary | ​ | C2 | ​ | December 1, 2027 | ​ 
WTMT | | Asheville, NC | | Classic Rock | ​ | C2 | ​ | December 1, 2027 | ​ 
KISM | | Bellingham, WA | | Classic Rock | ​ | C | ​ | February 1, 2030 | ​ 
KAFE | | Bellingham, WA | | Adult Contemporary | ​ | C | ​ | February 1, 2030 | ​ 
WRSY | | Brattleboro, VT | | Adult Album Alternative | ​ | A | ​ | April 1, 2022 | (3)
WKVT | | Brattleboro, VT | | Classic Hits | ​ | A | ​ | April 1, 2022 | (3)
WQEL | | Bucyrus, OH | | Classic Hits | ​ | A | ​ | October 1, 2028 | ​ 
WLRW | | Champaign, IL | | Hot Adult Contemporary | ​ | B | ​ | December 1, 2028 | ​ 
WIXY | | Champaign, IL | | Country | ​ | B1 | ​ | December 1, 2028 | ​ 
WREE | | Champaign, IL | | Classic Hits | ​ | B1 | ​ | December 1, 2028 | ​ 
WYXY | | Champaign, IL | | Classic Country | ​ | B | ​ | December 1, 2028 | ​ 
WAVF | | Charleston, SC | | Adult Variety Hits | ​ | C | ​ | December 1, 2027 | ​ 
WCKN | | Charleston, SC | | Contemporary Country | ​ | C1 | ​ | December 1, 2027 | ​ 
WMXZ | | Charleston, SC | | Hot Adult Contemporary | ​ | C2 | ​ | December 1, 2027 | ​ 
WXST | | Charleston, SC | | Urban Adult Contemporary | ​ | C1 | ​ | December 1, 2027 | ​ 
WWWV | | Charlottesville, VA | | Classic Rock | ​ | B | ​ | October 1, 2027 | ​ 
WQMZ | | Charlottesville, VA | | Adult Contemporary | ​ | A | ​ | October 1, 2027 | ​ 
WCNR | | Charlottesville, VA | | Adult Album Alternative | ​ | A | ​ | October 1, 2027 | ​ 
WCVL | | Charlottesville, VA | | Contemporary Country | ​ | A | ​ | October 1, 2027 | ​ 
WCVQ | | Clarksville, TN/Hopkinsville, KY | | Hot Adult Contemporary | ​ | C1 | ​ | August 1, 2028 | ​ 
WZZP | | Clarksville, TN/Hopkinsville, KY | | Rock | ​ | A | ​ | August 1, 2028 | ​ 
WVVR | | Clarksville, TN/Hopkinsville, KY | | Contemporary Country | ​ | C0 | ​ | August 1, 2028 | ​ 
WRND | | Clarksville, TN/Hopkinsville, KY | | Classic Hits | ​ | A | ​ | August 1, 2028 | ​ 
WSNY | | Columbus, OH | | Adult Contemporary | ​ | B | ​ | October 1, 2028 | ​ 
WNNP | | Columbus, OH | | Classic Hits | ​ | A | ​ | October 1, 2028 | ​ 
WNND | | Columbus, OH | | Classic Hits | ​ | A | ​ | October 1, 2028 | ​ 
WVMX | | Columbus, OH | | Hot Adult Contemporary | ​ | A | ​ | October 1, 2028 | ​ 
WLVQ | | Columbus, OH | | Classic Rock | ​ | B | ​ | October 1, 2028 | ​ 
KSTZ | | Des Moines, IA | | Hot Adult Contemporary | ​ | C | ​ | February 1, 2029 | ​ 
KIOA | | Des Moines, IA | | Classic Hits | ​ | C1 | ​ | February 1, 2029 | ​ 
KAZR | | Des Moines, IA | | Rock | ​ | C1 | ​ | February 1, 2029 | ​ 
KOEZ | | Des Moines, IA | | Soft Adult Contemporary | ​ | C1 | ​ | February 1, 2029 | ​ 
WHAI | | Greenfield, MA | | Adult Contemporary | ​ | A | ​ | April 1, 2022 | (3)
WPVQ | | Greenfield, MA | | Contemporary Country | ​ | A | ​ | April 1, 2022 | (3)
WMQR | | Harrisonburg, VA | | Adult Contemporary | ​ | B1 | ​ | October 1, 2027 | ​ 
WQPO | | Harrisonburg, VA | | Contemporary Hits | ​ | B | ​ | October 1, 2027 | ​ 
WSIG | | Harrisonburg, VA | | Classic Country | ​ | B1 | ​ | October 1, 2027 | ​ 
WWRE | | Harrisonburg, VA | | Classic Hits | ​ | A | ​ | October 1, 2027 | ​ 
WOEZ | | Hilton Head Island, SC | | Classic Hits | ​ | C3 | ​ | December 1, 2027 | ​ 
WLHH | | Hilton Head Island, SC | | Soft Adult Contemporary | ​ | C3 | ​ | December 1, 2027 | ​ 
WVSC | | Hilton Head Island, SC | | Adult Contemporary | ​ | C3 | ​ | December 1, 2027 | ​ 
WYXL | | Ithaca, NY | | Adult Contemporary | ​ | B | ​ | June 1, 2022 | (3)
WQNY | | Ithaca, NY | | Contemporary Country | ​ | B | ​ | June 1, 2022 | (3)
WIII | | Ithaca, NY | | Classic Rock | ​ | B | ​ | June 1, 2022 | (3)
WFIZ | | Ithaca, NY | | Contemporary Hits | ​ | A | ​ | June 1, 2022 | (3)

​

8



​

​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ 
--------+---+----------------------------------+---+--------------------------+---+-------------+---+--------------------+----
 | ​ | ​ | ​ | Station | ​ | FCC Station | ​ | Expiration Date of | ​ 
Station | | Market (1) | | Format | | Class (2) | | FCC Authorization | ​ 
KEGI | | Jonesboro, AR | | Classic Rock | ​ | C2 | ​ | June 1, 2028 | ​ 
KDXY | | Jonesboro, AR | | Contemporary Country | ​ | C3 | ​ | June 1, 2028 | ​ 
KJBX | | Jonesboro, AR | | Adult Contemporary | ​ | C3 | ​ | June 1, 2028 | ​ 
WKNE | | Keene, NH | | Hot Adult Contemporary | ​ | B | ​ | April 1, 2022 | (3)
WSNI | | Keene, NH | | Adult Contemporary | ​ | A | ​ | April 1, 2022 | (3)
WINQ | | Keene, NH | | Contemporary Country | ​ | A | ​ | April 1, 2022 | (3)
WZID | | Manchester, NH | | Adult Contemporary | ​ | B | ​ | April 1, 2022 | (3)
WMLL | | Manchester, NH | | Classic Rock | ​ | A | ​ | April 1, 2022 | (3)
WKLH | | Milwaukee, WI | | Classic Rock | ​ | B | ​ | December 1, 2028 | ​ 
WHQG | | Milwaukee, WI | | Rock | ​ | B | ​ | December 1, 2028 | ​ 
WRXS | | Milwaukee, WI | | Pure Oldies | ​ | A | ​ | December 1, 2028 | ​ 
WJMR | | Milwaukee, WI | | Urban Adult Contemporary | ​ | A | ​ | December 1, 2028 | ​ 
KMIT | | Mitchell, SD | | Contemporary Country | ​ | C1 | ​ | April 1, 2029 | ​ 
KUQL | | Mitchell, SD | | Classic Hits | ​ | C1 | ​ | April 1, 2029 | ​ 
WNOR | | Norfolk, VA | | Rock | ​ | B | ​ | October 1, 2027 | ​ 
WAFX | | Norfolk, VA | | Classic Rock | ​ | C | ​ | October 1, 2027 | ​ 
WOGK | | Ocala, FL | | Contemporary Country | ​ | C0 | ​ | February 1, 2028 | ​ 
WYND | | Ocala, FL | | Classic Rock | ​ | A | ​ | February 1, 2028 | ​ 
WNDD | | Ocala, FL | | Classic Rock | ​ | A | ​ | February 1, 2028 | ​ 
WNDN | | Ocala, FL | | Classic Rock | ​ | A | ​ | February 1, 2028 | ​ 
WRSI | | Northampton, MA | | Adult Album Alternative | ​ | A | ​ | April 1, 2022 | (3)
WPOR | | Portland, ME | | Contemporary Country | ​ | B | ​ | April 1, 2022 | (3)
WCLZ | | Portland, ME | | Adult Album Alternative | ​ | B | ​ | April 1, 2022 | (3)
WMGX | | Portland, ME | | Hot Adult Contemporary | ​ | B | ​ | April 1, 2022 | (3)
WYNZ | | Portland, ME | | Classic Hits | ​ | B1 | ​ | April 1, 2022 | (3)
KICD | | Spencer, IA | | Contemporary Country | ​ | C1 | ​ | February 1, 2029 | ​ 
KMRR | | Spencer, IA | | Adult Contemporary | ​ | C3 | ​ | February 1, 2029 | ​ 
WLZX | | Springfield, MA | | Classic Rock | ​ | A | ​ | April 1, 2022 | (3)
WAQY | | Springfield, MA | | Alternative Rock | ​ | B | ​ | April 1, 2022 | (3)
WYMG | | Springfield, IL | | Classic Rock | ​ | B | ​ | December 1, 2028 | ​ 
WLFZ | | Springfield, IL | | Contemporary Country | ​ | B | ​ | December 1, 2028 | ​ 
WDBR | | Springfield, IL | | Contemporary Hits | ​ | B | ​ | December 1, 2028 | ​ 
WTAX | | Springfield, IL | | News/Talk | ​ | B1 | ​ | December 1, 2028 | ​ 
WNAX | | Yankton, SD | | Contemporary Country | ​ | C1 | ​ | April 1, 2029 | ​ 
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ 
AM: | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ 
WISE | | Asheville, NC | | Sports/Talk | ​ | B | ​ | December 1, 2027 | ​ 
WYSE | | Asheville, NC | | Sports/Talk | ​ | D | ​ | December 1, 2027 | ​ 
KGMI | | Bellingham, WA | | News/Talk | ​ | B | ​ | February 1, 2030 | ​ 
KPUG | | Bellingham, WA | | Sports/Talk | ​ | B | ​ | February 1, 2030 | ​ 
KBAI | | Bellingham, WA | | Classic Hits | ​ | B | ​ | February 1, 2030 | ​ 
WINQ | | Brattleboro, VT | | News/Talk | ​ | C | ​ | April 1, 2022 | (3)
WBCO | | Bucyrus, OH | | Classic Country | ​ | D | ​ | October 1, 2028 | ​ 
WSPO | | Charleston, SC | | Gospel | ​ | B | ​ | December 1, 2027 | ​ 
