Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

ITEM 1. BUSINESS
Overview
Urban One, Inc. (a Delaware corporation originally formed in 1980 and hereinafter referred to as “Urban One”) and its subsidiaries (collectively, the “Company”) is an urban-oriented, multi-media company that primarily targets African-American and urban consumers. Our core business is our radio broadcasting franchise which is the largest radio broadcasting operation that primarily targets African-American and urban listeners. As of December 31, 2021, we owned and/or operated 64 independently formatted, revenue producing broadcast stations (including 54 FM or AM stations, 8 HD stations, and the 2 low power television stations we operate) located in 13 of the most populous African-American markets in the United States. While a core source of our revenue has historically been and remains the sale of local and national advertising for broadcast on our radio stations, our strategy is to operate the premier multi-media entertainment and information content platform targeting African-American and urban consumers. Thus, we have diversified our revenue streams by making acquisitions and investments in other complementary media properties. Our diverse media and entertainment interests include TV One, LLC (“TV One”), which operates two cable television networks targeting African-American and urban viewers, TV One and CLEO TV; our 80.0% ownership interest in Reach Media, Inc. (“Reach Media”), which operates the Rickey Smiley Morning Show and our other syndicated programming assets, including the Get Up! Mornings with Erica Campbell Show, Russ Parr Morning Show and the DL Hughley Show; and Interactive One, LLC (“Interactive One”), our wholly owned digital platform serving the African-American community through social content, news, information, and entertainment websites, including its Cassius and Bossip, HipHopWired and MadameNoire digital platforms and brands. We also hold a minority ownership interest in MGM National Harbor Casino, a gaming resort located in Prince George’s County, Maryland. Through our national multi-media operations, we provide advertisers with a unique and powerful delivery mechanism to communicated with African-American and urban audiences.
Our core radio broadcasting franchise operates under the brand “Radio One.”  We also operate other media brands, such as TV One, CLEO TV, Reach Media and Interactive One, while developing additional branding reflective of our diverse media operations and our targeting of African-American and urban audiences.
Recent Developments
Impact of Public Health Crisis
Throughout each of 2020 and 2021, the COVID-19 pandemic had an impact on certain of our revenue and alternative revenue sources. Most notably, a number of advertisers across a variety of significant advertising categories have ceased business or reduced advertising spend due to the pandemic. This has been particularly true within our radio segment which derives substantial revenue from local advertisers, including in areas such as Texas, Ohio and Georgia. The economies in these areas were hit particularly hard due to social distancing and other government interventions. Further, the COVID-19 pandemic has caused a shift in the way people work and commute, which in some instances has altered demand for our broadcast radio advertising. Finally, the COVID-19 outbreak caused the postponement or cancellation of certain of our tent pole special events or otherwise impaired or limited ticket sales for such events. We do not carry business interruption insurance to compensate us for losses that occurred as a result of the pandemic and such losses may continue to occur as a result of the ongoing and fluctuating nature of the COVID-19 pandemic. Outbreaks in the markets in which we operate could have material impacts on our liquidity, operations including potential impairment of assets, and our financial results. Likewise, our income from our investment in MGM National Harbor Casino has at times been negatively affected by closures and limitations on occupancy imposed by state and local governmental authorities.
We anticipate continued fluctuations in revenues due to ongoing nature of the COVID-19 pandemic. The extent to which our results continue to be affected by the COVID-19 pandemic will largely depend on future developments, which cannot be accurately predicted and are uncertain. These developments include, but are not limited to, the duration, scope and severity of the COVID-19 pandemic, any additional resurgences, variants or new viruses; the ability to effectively and widely manufacture and distribute vaccines/boosters; the public’s perception of the safety of the vaccines/boosters and the public’s willingness to take the vaccines/boosters; the effect of the COVID-19 pandemic on our customers and the ability 

7



of our clients to meet their payment terms; the public’s willingness to attend live events; and the pace of recovery when the pandemic subsides. 
Other Recent Developments
On November 6, 2020, the Company entered into a definitive asset exchange agreement with Audacy, Inc. (formerly Entercom Communications Corp.) whereby the Company would receive Charlotte stations: WLNK-FM (Adult Contemporary); WBT-AM & FM (News Talk Radio); and WFNZ-AM & 102.5 FM Translator (Sports Radio). In exchange, Urban One would transfer three radio stations to Audacy: St. Louis, WHHL-FM (Urban Contemporary); Philadelphia, WPHI-FM (Urban Contemporary); and Washington, DC, WTEM-AM (Sports); as well as the intellectual property to its St. Louis radio station, WFUN-FM (Adult Urban Contemporary). The Company and Audacy began operation of the exchanged stations on or about November 23, 2020 under LMAs until Federal Communications Commission (“FCC”) approval was obtained. The deal was subject to FCC approval and other customary closing conditions and, after obtaining the approvals, closed on April 20, 2021. In addition, the Company entered into an asset purchase agreement with Gateway Creative Broadcasting, Inc. (“Gateway”) for the remaining assets of our WFUN station in a separate transaction which also closed on April 20, 2021. The Company received approximately $8.0 million and exchanged approximately $8.0 million in tangible and intangible assets as part of the transaction with Gateway. 
PPP Loans
On December 27, 2020, the Consolidated Appropriations Act of 2021 was signed into law. The legislation creates a second round of Paycheck Protection Program (“PPP”) loans of up to $2 million available to businesses with 300 or fewer employees that have sustained a 25% revenue loss in any quarter of 2020. Certain of the new PPP provisions may benefit broadcasters such as the Company. The provisions (i) allow individual TV and radio stations to apply for PPP loans as long as the individual TV or radio station employs not more than 300 employees per physical location; (ii) permit the Small Business Administration (“SBA”) to make loans up to $10 million total across TV and radio stations owned by a station group; (iii) require newly eligible individual TV and radio stations to make a good faith certification that proceeds of the loan will be used to support expenses for the production or distribution of locally-focused or emergency information; and (iv) waive any prohibition on loans to broadcast stations owned by publicly traded entities. On January 29, 2021, the Company submitted an application for participation in the PPP loan program. On June 1, 2021, the Company received proceeds of approximately $7.5 million. The loan bears interest at a fixed rate of 1% per year and will not be changed during the life of the loan. The loan matures June 1, 2026. The Company is in the process of applying for loan forgiveness. While certain of the PPP loans may be forgivable, until they are repaid or forgiven, the loan amount may constitute debt under the 2028 Notes (as defined below) and increase the Company’s leverage.
2028 Notes Offering
On January 25, 2021, the Company closed on an offering (the “2028 Notes Offering”) of $825 million in aggregate principal amount of senior secured notes due 2028 (the “2028 Notes”) in a private offering exempt from the registration requirements of the Securities Act of 1933, as amended (the “Securities Act”). The 2028 Notes are general senior secured obligations of the Company and are guaranteed on a senior secured basis by certain of the Company’s direct and indirect restricted subsidiaries. The 2028 Notes mature on February 1, 2028 and interest on the Notes accrues and is payable semi-annually in arrears on February 1 and August 1 of each year, commencing on August 1, 2021 at the rate of 7.375% per annum. 
The Company used the net proceeds from the 2028 Notes Offering, together with cash on hand, to repay or redeem (1) the loans outstanding under that certain Credit Agreement, dated as of April 18, 2017, by and among the Company, various lenders party thereto, Guggenheim Securities Credit Partners, LLC, as administrative agent, and The Bank of New York Mellon, as collateral agent (the “2017 Credit Facility”); (2) our 2018 credit agreement (“2018 Credit Facility”), among the Company, the lenders party thereto from time to time, Wilmington Trust, National Association, as administrative agent, and TCG Senior Funding L.L.C., as sole lead arranger and sole book runner; (3) the 2018 credit agreement entered into by Urban One Entertainment SPV, LLC and its immediate parent, Radio One Entertainment Holdings, LLC, each of which is a wholly owned subsidiary of the Company, providing $50.0 million in term loan borrowings (the “MGM National Harbor Loan”); (4) the remaining amounts of our 7.375% Senior Secured Notes due 2022 (the “7.375% Notes”); and (5) our 8.75% Senior Secured Notes due December 2022 (the “8.75% Notes”). Upon 

8



settlement of the 2028 Notes Offering, the 2017 Credit Facility, the 2018 Credit Facility and the MGM National Harbor Loan were terminated and the indentures governing the 7.375% Notes and the 8.75% Notes were satisfied and discharged.
Segments
As part of our consolidated financial statements, consistent with our financial reporting structure and how the Company currently manages its businesses, we have provided selected financial information on the Company’s four reportable segments: (i) radio broadcasting; (ii) cable television; (iii) Reach Media; and (iv) digital.
Our Radio Station Portfolio, Strategy and Markets
As noted above, our core business is our radio broadcasting franchise which is the largest radio broadcasting operation in the country primarily targeting African-American and urban listeners. Within the markets in which we operate, we strive to build clusters of radio stations with each radio station targeting different demographic segments of the African-American population. This clustering and programming segmentation strategy allows us to achieve greater penetration within the distinct segments of our overall target market. In addition, we have been able to achieve operating efficiencies by consolidating office and studio space where possible to minimize duplicative management positions and reduce overhead expenses. Depending on market conditions, changes in ratings methodologies and economic and demographic shifts, from time to time, we may reprogram some of our stations in underperforming segments of certain markets.
As of December 31, 2021, we owned and/or operated 64 independently formatted, revenue producing broadcast stations (including 54 FM or AM stations, 8 HD stations, and the 2 low power television stations we operate but excluding translators) located in 13 of the most populous African-American markets in the United States. The following tables set forth further selected information about our portfolio of radio stations as of December 31, 2021.

​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ 
---------------+---+---------------------+---+-------------+---+--------+---+---------+---+------------------+---+--------------------+---+---------------------+---+---------
​ | ​ | Urban One | ​ | Market Data
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | Entire Audience | ​ | Ranking by Size of | ​ | Estimated Fall 2021
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | Four Book | ​ | African-American | ​ | Metro 
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | Average Audience | ​ | Population Persons | ​ | Population Persons 
Market | ​ | Number of Stations* | ​ | Share(1) | ​ | 12+(2) | ​ | 12+ 
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | African-
​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | ​ | Total | ​ | American
​ | | FM | | AM | | HD | | LP/TV** | | ​ | | ​ | | (millions) | | % 
Atlanta | | 4 | | | | 1 | | | | 12.3 | | 2 | | 5.1 | | 36 
Washington, DC | | 4 | | 2 | | | | | | 10.8 | | 3 | | 5.1 | | 27 
Houston | | 3 | | ​ | | 1 | | | | 9.5 | | 6 | | 6.1 | | 18 
Dallas | | 2 | | | | | | | | 4.2 | | 5 | | 6.5 | | 17 
Philadelphia | | 2 | | ​ | | 2 | | | | 3.5 | | 7 | | 4.8 | | 21 
Baltimore | | 2 | | 2 | | 1 | | | | 14.9 | | 11 | | 2.5 | | 30 
Charlotte | | 6 | | 1 | | | | | | 18.6 | | 12 | | 2.4 | | 23 
Raleigh-Durham | | 4 | | | | | | | | 16.0 | | 18 | | 1.7 | | 22 
Cleveland | | 2 | | 2 | | 1 | | | | 11.7 | | 20 | | 1.8 | | 20 
Richmond(3) | | 4 | | 2 | | | | | | 18.1 | | 23 | | 1.1 | | 30 
Columbus | | 5 | | ​ | | | | 1 | | 6.3 | | 25 | | 1.7 | | 18 
Indianapolis | | 3 | | 1 | | 1 | | 1 | | 12.2 | | 30 | | 1.6 | | 17 
Cincinnati | | 2 | | 1 | | 1 | | | | 6.4 | | 36 | | 1.9 | | 13 
Total | | 43 | | 11 | | 8 | | 2 | | | | | | | | 


(1) | Audience share data are for the 12+ demographic and derived from the Nielsen Survey ending with the Fall 2021 Nielsen Survey.
----+------------------------------------------------------------------------------------------------------------------------------


(2) | Population estimates are from the Nielsen Radio Market Survey Population, Rankings and Information, Fall 2021.
----+---------------------------------------------------------------------------------------------------------------


(3) | Richmond is the only market in which we operate using the diary methodology of audience measurement.
----+-----------------------------------------------------------------------------------------------------


* | 19 non-independently formatted HD stations and 12 non-independently formatted translators owned and operated by the Company are not included in the above station count. Changes in the programming of our HD stations or translators may alter our station count from time to time.
--+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


** | Low power television station
---+-----------------------------

9




​ | ​ | ​ | ​ | ​ | ​ | ​ 
-----------+---+-------------------+---+----------------------------+---+------------
​ | | Market Rank Metro | | ​ | | ​ 
Market | ​ | Population 2021 | ​ | Format | ​ | Target Demo
Atlanta | | 7 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WAMJ/WUMJ | | | | Urban AC | | 25-54 
WHTA | | | | Urban Contemporary | | 18-34 
WPZE | | | | Contemporary Inspirational | | 25-54 
WAMJ-HD-2 | | | | Urban Contemporary | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Baltimore | | 21 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WERQ | | | | Urban Contemporary | | 18-34 
WOLB | | | | News/Talk | | 35-64 
WWIN-FM | | | | Urban AC | | 25-54 
WWIN-AM | | | | Gospel | | 35-64 
WLIF-HD-2 | | | | Contemporary Inspirational | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Charlotte | | 23 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WPZS | | | | Contemporary Inspirational | | 25-54 
WOSF | | | | Urban AC / Old School | | 25-54 
WQNC | | | | Urban Contemporary | | 18-34 
WBT-AM | | | | News Talk | | 25-54 
WBT-FM | | | | News Talk | | 25-54 
WFNZ | | | | Sports Talk | | 25-54 
WLNK | | | | Hot Adult Contemporary | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Cincinnati | | 33 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WIZF | | | | Urban Contemporary | | 18-34 
WOSL | | | | Urban AC / Old School | | 25-54 
WDBZ-AM | | | | Talk | | 35-64 
WIZF-HD2 | ​ | ​ | ​ | Hispanic | ​ | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Cleveland | | 35 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WENZ | | | | Urban Contemporary | | 18-34 
WERE-AM | | | | News/Talk | | 35-64 
WJMO-AM | | | | Contemporary Inspirational | | 35-64 
WZAK | | | | Urban AC | | 25-54 
WENZ-HD-2 | | | | Contemporary Inspirational | | 35-64 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Columbus | | 36 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WCKX | | | | Urban Contemporary | | 18-34 
WXMG | | | | Urban AC | | 25-54 
WBMO | | | | Urban Contemporary | | 18-34 
WJYD | | | | Contemporary Inspirational | | 25-54 
WWLG | | | | Hispanic | | 25-54 
WQMC-TV | | | | Television | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Dallas | | 5 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
KBFB | | | | Urban Contemporary | | 18-34 
KZJM | | | | Urban Contemporary | | 25-54 

10




​ | ​ | ​ | ​ | ​ | ​ | ​ 
----------------+---+-------------------+---+----------------------------+---+------------
​ | | Market Rank Metro | | ​ | | ​ 
Market | ​ | Population 2021 | ​ | Format | ​ | Target Demo
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Houston | | 6 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
KBXX | | | | Urban Contemporary | | 18-34 
KMJQ | | | | Urban AC | | 25-54 
KROI | | | | Contemporary Inspirational | | 18-34 
KMJQ-HD2 | | | | Contemporary Inspirational | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Indianapolis | | 39 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WTLC-FM | | | | Urban AC | | 25-54 
WHHH | | | | Urban Contemporary | | 18-34 
WNOW | | | | Pop/CHR | | 18-34 
WTLC-AM | | | | Contemporary Inspirational | | 35-64 
WNOW-HD2, HD3 | | | | Regional Mexican | | 25-54 
WDNI-TV | | | | Television | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Philadelphia | | 9 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WPPZ | | | | Adult Contemporary | | 25-54 
WRNB | | | | Mainstream Urban | | 25-54 
WPPZ-HD2 | | | | Contemporary Inspirational | | 25-54 
WRNB-HD2 | | | | Urban AC | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Raleigh | | 37 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WFXC/WFXK | | | | Urban AC | | 25-54 
WQOK | | | | Urban Contemporary | | 18-34 
WNNL | | | | Contemporary Inspirational | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Richmond (1) | | 53 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WKJS/WKJM | | | | Urban AC | | 25-54 
WCDX | | | | Urban Contemporary | | 18-34 
WPZZ | | | | Contemporary Inspirational | | 25-54 
WXGI-AM/WTPS-AM | | | | Classic Hip Hop | | 25-54 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
Washington DC | | 8 | | | | 
​ | ​ | ​ | ​ | ​ | ​ | ​ 
WKYS | | | | Urban Contemporary | | 18-34 
WMMJ/WDCJ | | | | Urban AC | | 25-54 
WPRS | | | | Contemporary Inspirational | | 25-54 
WOL-AM | | | | News/Talk | | 35-64 
WYCB-AM | | | | Gospel | | 35-64 

​
AC-refers to Adult Contemporary
CHR-refers to Contemporary Hit Radio
Pop-refers to Popular Music
Old School - refers to Old School Hip/Hop

(1) | Richmond is the only market in which we operate using the diary methodology of audience measurement.
----+-----------------------------------------------------------------------------------------------------

11



For the year ended December 31, 2021, approximately 31.8% of our net revenue was generated from the sale of advertising in our core radio business, excluding Reach Media. Within our core radio business, four (Houston, Washington, DC, Atlanta and Baltimore) of the 13 markets in which we operated radio stations throughout 2021 or a portion thereof accounted for approximately 53.8% of our radio station net revenue for the year ended December 31, 2021. Revenue from the operations of Reach Media, along with revenue from both the Houston and Washington, DC markets accounted for approximately 19.3% of our total consolidated net revenue for the year ended December 31, 2021. Revenue from the operations of Reach Media, along with revenue from the four significant contributing radio markets, accounted for approximately 27.5% of our total consolidated net revenue for the year ended December 31, 2021. Adverse events or conditions (economic, including government cutbacks or otherwise) could lead to declines in the contribution of Reach Media or declines in one or more of the four significant contributing radio markets, which could have a material adverse effect on our overall financial performance and results of operations.
Radio Advertising Revenue
Substantially all net revenue generated from our radio franchise is generated from the sale of local, national and network advertising. Local sales are made by the sales staff located in our markets. National sales are made primarily by Katz Communications, Inc. (“Katz”), a firm specializing in radio advertising sales on the national level. Katz is paid agency commissions on the advertising sold. Approximately 59.2% of our net revenue from our core radio business for the year ended December 31, 2021, was generated from the sale of local advertising and 36.3% from sales to national advertisers, including network/syndication advertising. The balance of net revenue from our radio segment is primarily derived from tower rental income, ticket sales, and revenue related to sponsored events, management fees and other alternative revenue.
Advertising rates charged by radio stations are based primarily on:

● | a radio station’s audience share within the demographic groups targeted by the advertisers;
--+--------------------------------------------------------------------------------------------


● | the number of radio stations in the market competing for the same demographic groups; and
--+------------------------------------------------------------------------------------------


● | the supply and demand for radio advertising time.
--+--------------------------------------------------

A radio station’s listenership is measured by the Portable People MeterTM (the “PPMTM”) system or diary ratings surveys, both of which estimate the number of listeners tuned to a radio station and the time they spend listening to that radio station. Ratings are used by advertisers to evaluate whether to advertise on our radio stations, and are used by us to chart audience size, set advertising rates and adjust programming. Advertising rates are generally highest during the morning and afternoon commuting hours.
Cable Television, Reach Media and Digital Segments, Strategy and Sources of Revenue and Income
We have expanded our operations to include other media forms that are complementary to our core radio business. In a strategy similar to our radio market segmentation, we have multiple complementary media and online brands. Each of these brands focuses upon a different segment of African-American consumers. With our multiple brands, we are able to direct advertisers to specific audiences within the urban communities in which we are located or to bundle the brands for advertising sales purposes when advantageous.
TV One, our primary cable television franchise targeting the African-American and urban communities, derives its revenue from advertising and affiliate revenue. Advertising revenue is derived from the sale of television air time to advertisers and is recognized when the advertisements are run. TV One also derives revenue from affiliate fees under the terms of various affiliation agreements based upon a per subscriber fee multiplied by the most recent subscriber counts reported by the applicable affiliate. In January 2019, we launched a second cable television franchise called CLEO TV, a lifestyle and entertainment network targeting Millennial and Gen X women of color also operated by TV One, LLC. CLEO TV derives its revenue principally from advertising.

12



Reach Media, our syndicated radio unit, primarily derives its revenue from the sale of advertising in connection with its syndicated radio shows, including the Rickey Smiley Morning Show, Get Up! Mornings with Erica Campbell, the Russ Parr Morning Show, and the DL Hughley Show. In addition to being broadcast on 49 Urban One stations, our syndicated radio programming also was available on 209 non-Urban One stations throughout the United States as of December 31, 2021.
We have launched websites that simultaneously stream radio station content for each of our radio stations, and we derive revenue from the sale of advertisements on those websites. We generally encourage our web advertisers to run simultaneous radio campaigns and use mentions in our radio airtime to promote our websites. By providing streaming, we have been able to broaden our listener reach, particularly to “office hour” listeners, including at home “office hour” listeners. We believe streaming has had a positive impact on our radio stations’ reach to listeners. In addition, our station websites link to our other online properties operated by our primary digital unit, Interactive One. Interactive One operates the largest social networking site primarily targeting African-Americans and other branded websites, including Bossip, HipHopWired and MadameNoire. Interactive One derives revenue from advertising services on non-radio station branded websites, and studio services where Interactive One provides services to other publishers. Advertising services include the sale of banner and sponsorship advertisements. Advertising revenue is recognized either as impressions (the number of times advertisements appear in viewed pages) are delivered or when “click through” purchases are made, where applicable. In addition, Interactive One derives revenue from its studio operations which provide third-party clients with digital platforms and expertise. In the case of the studio operations, revenue is recognized primarily through fixed contractual monthly fees and/or as a share of the third party’s reported revenue.
Finally, our MGM National Harbor investment entitles us to an annual cash distribution based on net gaming revenue from gaming activities conducted on the site of the facility. Future opportunities could include investments in, acquisitions of, or the development of companies in diverse media businesses, gaming and entertainment, music production and distribution, movie distribution, internet-based services, and distribution of our content through emerging distribution systems such as the Internet, smartphones, cellular phones, tablets, and the home entertainment market.
Competition
The media industry is highly competitive and we face intense competition across our core radio franchise and all of our complementary media properties. Our media properties compete for audiences and advertising revenue with other radio stations and with other media such as broadcast and cable television, the Internet, satellite radio, newspapers, magazines, direct mail and outdoor advertising, some of which may be owned or controlled by horizontally-integrated companies. Audience ratings and advertising revenue are subject to change and any adverse change in a market could adversely affect our net revenue in that market. If a competing radio station converts to a format similar to that of one of our radio stations, or if one of our competitors strengthens its signal or operations, our stations could suffer a reduction in ratings and advertising revenue. Other media companies which are larger and have more resources may also enter or increase their presence in markets or segments in which we operate. Although we believe our media properties are well positioned to compete, we cannot assure that our properties will maintain or increase their current ratings, market share or advertising revenue.
